Country,Country Code,Region,GDP_1995,GDP_2022,POP_1995,POP_2022
Guyana,GUY,Latin America & Caribbean,2512279687,13784568758,751689,808726
Haiti,HTI,Latin America & Caribbean,9847455234,14456828346,7627316,11584996
Honduras,HND,Latin America & Caribbean,10012795187,25953884374,5812832,10432860
"Hong Kong SAR, China",HKG,East Asia & Pacific,1.58E+11,3.19E+11,6156100,7346100
Hungary,HUN,Europe & Central Asia,79280778284,1.58E+11,10328965,9683505
Iceland,ISL,Europe & Central Asia,9144289755,21343185568,267468,381900
India,IND,South Asia,5.96E+11,2.95E+12,964279129,1417173173
Indonesia,IDN,East Asia & Pacific,3.81E+11,1.12E+12,198140162,275501339
"Iran, Islamic Rep.",IRN,Middle East & North Africa,2.17E+11,4.83E+11,60794809,88550570
Iraq,IRQ,Middle East & North Africa,40841438900,1.93E+11,20948858,44496122
Ireland,IRL,Europe & Central Asia,1.02E+11,5.01E+11,3608841,5086988
Isle of Man,IMN,Europe & Central Asia,2202805682,..,71454,84519
Israel,ISR,Middle East & North Africa,1.43E+11,4.07E+11,5545000,9550600
Italy,ITA,Europe & Central Asia,1.66E+12,1.94E+12,56844303,58856847
Jamaica,JAM,Latin America & Caribbean,13073367941,14665745989,2509372,2827377
Japan,JPN,East Asia & Pacific,3.79E+12,4.51E+12,125472000,125124989
Jordan,JOR,Middle East & North Africa,15697537789,43119939893,4458195,11285869
Kazakhstan,KAZ,Europe & Central Asia,58532023432,2.22E+11,15816243,19621972
Kenya,KEN,Sub-Saharan Africa,32929842047,94795843915,26878347,54027487
Kiribati,KIR,East Asia & Pacific,113838640.3,188123176.8,81481,131232
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,..,..,22385536,26069416
"Korea, Rep.",KOR,East Asia & Pacific,6.05E+11,1.74E+12,45092991,51628117
Kosovo,XKX,Europe & Central Asia,..,8189954901,2029000,1761985
Kuwait,KWT,Middle East & North Africa,55753632568,1.14E+11,1655222,4268873
Kyrgyz Republic,KGZ,Europe & Central Asia,2678346326,8243822709,4560400,6803300
Lao PDR,LAO,East Asia & Pacific,3693284751,19570649661,4927432,7529475
Latvia,LVA,Europe & Central Asia,12350288664,31918175036,2485056,1883379
Lebanon,LBN,Middle East & North Africa,21951290517,..,3959640,5489739
Lesotho,LSO,Sub-Saharan Africa,1252441372,2232288077,1934079,2305825
Liberia,LBR,Sub-Saharan Africa,..,3428189697,2142422,5302681
Libya,LBY,Middle East & North Africa,..,55524882596,4733063,6812341
Liechtenstein,LIE,Europe & Central Asia,..,..,30890,39327
Lithuania,LTU,Europe & Central Asia,17913320836,52033541667,3629102,2833000
Luxembourg,LUX,Europe & Central Asia,30604417465,70062418271,408625,650774
"Macao SAR, China",MAC,East Asia & Pacific,13978415627,20416776807,396641,695168
Madagascar,MDG,Sub-Saharan Africa,6386837685,13439518394,13869138,29611714
Malawi,MWI,Sub-Saharan Africa,3910634173,11308596136,10112816,20405317
Malaysia,MYS,East Asia & Pacific,1.17E+11,3.86E+11,20136888,33938221
Maldives,MDV,South Asia,1407648146,5743242066,258208,523787
Mali,MLI,Sub-Saharan Africa,4906876185,16915539347,9921094,22593590
Malta,MLT,Middle East & North Africa,4659169826,15772145539,377419,523417
